Tokodede,Tetun,English
ena wati,toba fatin,"bedroom, bed"
ver lara,iha laran,inside
malae,malae,foreign
gini,besik,"near, close to"
ver keva,iha liur,outside
keva,liur,"outside, external; outside surface"
da,dalan,"road, street"
kono’o,ne’eba,there
kailau,aas,tall
seni’it,uitoan,"few, a little"
A ka’u,hau ni’an,"my, mine"
ka’mi,ami nian,"our, ours"
ro;o si’i,sira nian,"their, theirs"
ro’o,sira,"their, theirs, them"
kami,ami,"we, us"
seni,se,"who, whom"
seni ta’u,se mak ne’e,who’s that
sentani’i,se nian,whose
kimi,imi nian,"your, yours"
sudilimu,bensa,"bless, blessing"
kadopa,kadopa,climb tree by hugging it
etó,hetan,"find, see"
sudi,hasoru,meet
ala,hola,buy
ala,sosa,buy
ala lapar,hola sasan,buy something
via,bolu,call
lebo,bele,"can, could"
telebo,labele,cannot
sa'e,sa'e,climb
tapa,taka,close
ta,tesi,cut
bra'i,lakohi,"don't want, wish not, want not"
doi,monu,fall
na'il,hakail,fishing
tebe,semo,fly (through the air)
betu,tebe (okos),folklore
tei,tebe (leten),kick
leti,buka,look for
dotu,tau leten ahi,put on fire
tenek-tenega,nonook,"quiet, silent, shut up"
lise,haree,"see, view"
fa'an,fa’an,sell
sor,suku,sewing
matani,hatudu,show
tidi,tuku,"strike, blow"
bonu,baku,"strike, blow, hit"
soru,ko'alia,"talk, speak, converse"
tia,tuda,"throw, throw away"
bati,fahe,"divide, share"
dara,tuir,follow
bligu,haluha,forget
putu,hamutuk,"together, joint, gather together, united"
buni,subar (ema),hide (person)
brobas,bosok,"lie, falsehood"
punu,halo,make
dale,dehan,tell
pana’a,hatene,"know, understand, aware of"
pana’a dasa,komprende,understand
blee,hadeer,wake up
aer ketemo,loron tomak,all day
punu tó,halo tinan,anniversary
matar,hatan,answer
limu,liman,"arm, hand"
tugu,husu,"ask, request"
muku,hudi,banana
diu wati,hariis fatin,bath place
diu,hariis,bath/to shower
muno,uluk,"before, first"
rua,kraik ,below
ha'e/poku,boot,big
pro,ro,boat
livru,livru,book
odi,lori/hodi,bring
ambou,maun,"brother, older brother"
kai same ,ai-farina,cassava
kadeira,kadeira,chair
pida pida/tunugudu,baratu,cheap
kafe,kafe,coffee
mai ha’a laap ,mai han ona,come eat 
karbau,karau,cow
kavo ,pepinu ,cucumber
aer,loron,day
raeaer,rai loron,daytime
gia,fo'er ,dirty
damat,odamatan,door
nevati,mehi,dream
tligi,tilun,ear
wowtelu,ualu,eight
sakuiwowtelu,ualunulu,eighty
sagulu gresi iso,sanulu resin ida,eleven
ma’o,mamuk,"empty, vacant, blank unoccupied"
ae-aer,loro-loron,everyday
mat,matan,eyes
bebere’e/biu,"lais, lalais","fast, quickly"
sakuilim,limanulu,fifty
tidi lor,tuku malu,fight
mori,ikus,"final, end, youngest"
ma'o,remata,finish
ika ,ikan ,fish
lim,lima,five
vetu/wetu,ai-funan,flower
koe,ain,"foot, leg"
garfu,garfu,fork
sakuipat,haatnulu,forty
pat,haat,four
kupat,dala haat,fourth
pio,"hosi, husi (fatin)",from (place)
pesa,"hosi, husi (pasadu)",from (time)
pio mane?,hosi ne'ebe?,from where?
"aer-airu, aeraru",futuru,future
"lasona buti, lisona buti",liis mutin,garlic
"lasona,lisona",liis ,garlic/onion
mnamar,laran-luak,generous
mori,moris,"give birth, birth, born"
nee/tolo,fo,"give, provide, deliver"
kopu,kopu,glass
duu,tun,go down
bloi ka tai?,di'ak ka lae?,good or no?
dudu,lakeru,gourd
U,nia,he/she
dgana,ulun,head
umo,uma,"house, home"
atus,atus,hundred
salae,hamlaha,hungry
A,ha’u,I
A la eskola se,ha’u ba eskola ona ,I am going to school now
A la diu wati,ha’u ba hariis fatin ,I am going to the bathroom
A bro,ha’u hamrok,I am thirsty
A ha'a ha'a,ha'u han etu,I eat rice
lara,laran,inside
dapur,dapur,kitchen
gnaeu,tudik,knife
rae,rai,"land, earth"
kairua ,ai-tahan,leaf
maubara dia dila,maubara iha ai-dila ,maubara has papaya
kairua ,ai-moruk,medicine
lelo-kalau,meudia,midday
suse,susubeen,milk
vula/wula,fulan,month; moon
busó,dadeer,morning
vovolau,foho,mountain
ibo,ibun,mouth
akau gala,hau-nia naran,my name is
gala,naran,name
tegeu,kakorok,neck
weu/veu,foun,new
to heú,tinan foun,new year
buta,kalan,night
wowpat,sia,nine
sakuiwowpat,sianulu,ninety
ilu,inus,nose
weki/veki,seidauk,not yet
se,agora,now
se,ona,"now, already"
dapu,bebeik,often
to ha’e,tinan boot,older
kaso’e,dala ida,once
kaso'e pita,dala ida tan,once again
iso,ida,one
aer iso,loron ida,one day
atus iso,atus ida,one hundred
ribu iso,rihun ida,one thousand
dila ,ai-dila,papaya
atu,ema,"people, humans"
kurus,ai-manas,"pepper, chili"
wavi/vavi,fahi ,pig
wati,fatin,"place, address"
knia,bikan,plate
kura,sanan ,"pot, cauldron, cooking pot"
dudu,dudu,push
lui,tau,put
simu,simu,"receive, accept"
mio,mean,red
"lasona mio, lisona mio","liis mean, liis bombay",red onion
ha'a,etu,rice
lua,mota,river
plai,halai,run
eskola,eskola,school
tasi,tasi,"sea, ocean"
wowru,hitu,seven
sakuiwowru,hitunulu,seventy
wowniso,neen,six
sakuiwowniso,neenulu,sixty
bruma,ki'ik,"small, little"
gunuru,kanuru,spoon
brii,hamriik,stand up
digira ua,karak-teen,stingy
watu/vatu,fatuk,"stone, rock"
sia meda ,masin midar,sugar
lelo ha’e,bai loron,"summer, dry season"
lelo,loron (sun),sun
dumingu,domingu,sunday
lelo sa'e,loron sa’e,"sunrise, east"
raediri,lokraik,sunset
lelo duu/lelo sobu,loron tun,"sunset, west"
nagi,nani,swim
meza,mesa,table
kamale,sukaer,tamarind
xa,xa,tea
nipa,nehan,teeth
sagulu,sanulu,ten
bro,hamrook,thirsty
sagulu gresi telu,sanulu resin tolu,thirteen
sakuitelu,tolunulu,thirty
telu,tolu,three
aer-telu,loron tolu,three days
aitelun,horik baintolu,three days ago
aitelu,baintolu,three days later
kole,kolen,tired
sio ,tanis,to cry
ha’a,han,to eat
sega,sona,to fry
la,ba,"to go, go, goes"
dia,iha,to have
para’u,haro'us,to rinse off
mderi,tuur,to sit
ena,toba,to sleep
peni,"hela, hein","to stay, wait, stay"
sole,la’o,to walk
pna’i,"ohin, agora (lp)","today, now"
aer,aban,tomorrow
lama,nanal,tongue
tete ,leten,"top, up top, on top, above, over"
kaipu,ai-huun,tree
sagulu gresi ru,sanulu resin rua,twelve
sakuiru,ruanulu,twenty
rú,rua,two
aer-ru,"loron rua, bainrua",two days
aer-rum,horik bainrua,two days ago
atus ru,atus rua,two hundred
ribu ru atus telu sakuipat gresi lim,rihun rua atus tolu haatnulu resin lima,two thousand three hundred forty five
ba,okos,"under, below"
uta,modo,vegetables
kawasa,fase,wash
kawasa knia ,fase bikan ,wash dishes
E,bee,water
seta,saida,what
kiti gala seta?,ita naran sa?,what is your name?
pesamane,horibainhira,when
aer-pil,bainhira,when (how many days)
vermane,ne'ebe (labele haree deit),where (bele haree)
la mane?,ba ne’ebe?,Where are you going?
buti,mutin,white
ketemo,tomak,whole
gelu,anin,wind
janela,janela,window
kai,ai ,"wood, tree"
to,tinan,year
ko,o,you
kimi/ro,"imi, sira","you all, they"
kiti ,ita,"you, we, us"
to bruma,tinan ki’ik,youngest
ma'o moe,nol,zero
vore (tm),hatais,"wear, put something on"
kero,hakerek,write
pli’i,rona,listen
divitur,haksoit (ema),"jump, leap"
